model,os-version,os
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 4 (GSM),4.0.2 (8A400),4
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.4 (16G77),12
iPhone 8,12.4 (16G77),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
iPhone 8,12.0.1 (8A400),12
